CBTM-361B_AX	CBTM-361B_LA	CBTM-361B_LV	CBTM-361B_RV	CBTM-362C_AX	CBTM-362C_LA	CBTM-362C_LV	CBTM-362C_RA	CBTM-362C_RV	CBTM-362C_SP	CBTM-364B_AX	CBTM-364B_LA	CBTM-364B_LV	CBTM-364B_RA	CBTM-364B_RV	CBTM-364B_SP	CBTM-386C_AX	CBTM-386C_LA	CBTM-386C_LV	CBTM-386C_RA	CBTM-386C_RV	CBTM-386C_SP	CBTM-390C_AX	CBTM-390C_LA	CBTM-390C_LV	CBTM-390C_RA	CBTM-390C_RV	CBTM-390C_SP	CBTM-417C_AX	CBTM-417C_LA	CBTM-417C_LV	CBTM-417C_RA	CBTM-417C_RV	CBTM-417C_SP	CBTM-423C_AX	CBTM-423C_LA	CBTM-423C_LV	CBTM-423C_RA	CBTM-423C_RV	CBTM-423C_SP	CBTM-473C_AX	CBTM-473C_LA	CBTM-473C_LV	CBTM-473C_RA	CBTM-473C_RV	CBTM-473C_SP	H0015_AX	H0015_LV	H0015_RA	H0015_RV	H0015_SP	H0020_AX	H0020_LV	H0020_RA	H0020_RV	H0020_SP	H0025_AX	H0025_LA	H0025_LV	H0025_RA	H0025_RV	H0025_SP	H0026_AX	H0026_LA	H0026_LV	H0026_RA	H0026_RV	H0026_SP	H0035_AX	H0035_LA	H0035_LV	H0035_RA	H0035_RV	H0035_SP	H0037_AX	H0037_LV	H0037_RV	H0037_SP
PUR	7.74795866900969e-09	5.57224339453777e-09	7.82941271175683e-09	7.68489884508949e-08	0.00519672061207123	0.00791365936156265	0.00702590549172256	0.000796603671124182	0.00413857137750189	4.48974081786644e-09	0.00574471011861885	3.53315501766172e-09	2.1010805079405e-09	0.0268802307318112	2.2257229555479e-07	7.69046622567165e-09	0.025316554661145	1.07642071215287e-07	0.0173921851932095	0.00898320455970452	0.00712113103229704	0.028055461266288	3.21890242936279e-10	1.0591712124258e-09	6.13766551242593e-09	1.17151681534491e-09	4.9384054792338e-09	7.16410575193196e-09	1.67177370714103e-08	1.68405595096362e-09	7.8460541067429e-09	1.18705845461429e-08	5.40109164414771e-10	1.32703700416033e-08	9.13152055399593e-09	3.16516612619338e-09	1.61461306526939e-08	2.62320659447749e-09	0.0124997488723758	2.91684610493636e-09	3.74366479914807e-10	1.87877707086107e-09	3.71054804208234e-10	7.87452432005185e-09	2.35265720927013e-10	8.89532558616614e-11	8.90559704648479e-10	2.0163316617863e-09	7.99264371367012e-09	2.45202098708291e-09	8.47769670221401e-09	5.00310157063592e-10	7.27984554442677e-09	8.23278620525298e-09	5.17752172929089e-09	7.85794527984309e-10	-8.11998479488204e-10	1.55140341725528e-10	-7.12133032625694e-10	7.01269728093627e-11	-2.50887430838008e-10	4.72193200702632e-12	2.77115640006382e-09	2.23424746432655e-09	8.24711945861083e-09	3.08333657591974e-09	5.58648391273681e-09	5.03106509445476e-10	0.0438688567600023	4.58366314877569e-09	0.0171373718924828	1.31318526642409e-07	1.20997358412243e-07	0.0357096384757366	0.0103132986240678	0.0261157152495262	0.0176746070789423	0.00462730209662359
CDX	2.06518871384759e-10	5.29472613592339e-10	5.25103341305551e-10	8.87115129294769e-10	5.69394131705202e-10	2.19796977648855e-10	6.28624149474602e-10	2.26364934283651e-09	1.79613781695446e-09	7.99771175802803e-10	3.78496984459418e-10	2.37348121675079e-09	1.66395155681137e-10	1.60382726655034e-09	5.5194891201346e-09	1.19932675982575e-09	1.1272999764479e-10	2.28191053580601e-10	2.79563218762543e-10	2.30652729182229e-10	7.99044203521879e-10	8.6446642529104e-10	3.02620592489134e-11	8.87695453757576e-11	1.38535040407782e-09	1.5929584282661e-10	2.51122093028786e-10	7.67110823356499e-10	6.38452830782351e-10	9.31663664439112e-11	2.0609869846623e-10	1.03012530385849e-09	2.48797173917227e-11	5.77427244998706e-10	3.37597610955109e-09	1.15958610445699e-09	1.64287079214549e-09	8.58230962421974e-10	2.19488244140096e-09	9.12451003234653e-10	2.22823293122192e-10	1.26797867964512e-09	1.35670171197866e-10	4.70783282657384e-09	1.25593698202863e-10	3.16492830159956e-11	1.80016257522362e-10	2.02476020457951e-10	7.50581643459976e-10	1.96114035908218e-10	7.87918339315658e-10	3.78446620204731e-11	1.17552939678283e-09	7.10002123141319e-10	1.50991199923605e-10	2.33343121828275e-11	0.0278195530519063	0.0142750905346893	1.50645560933322e-08	0.000711547119393341	1.51263765793816e-08	0.0212168281785651	2.99932617461654e-10	2.83681560169706e-10	2.03338784456233e-09	2.10513016138087e-10	7.75263928545161e-10	3.87569004808034e-11	6.29481378681643e-10	-3.9110394912428e-12	2.20346426494251e-11	5.30810394185566e-10	3.74222446913179e-10	2.90226677062544e-10	2.67717128070229e-09	8.72299727454073e-10	4.10366858520198e-09	1.56179652903672e-09
CHB	8.5692449691174e-10	5.96219381949078e-10	4.12461075739875e-09	1.99299467149236e-09	4.74586509627253e-10	2.16059123611876e-10	4.85180268794021e-10	2.45410579913008e-09	1.46841459498366e-09	5.78929504872433e-10	2.86562443710605e-10	1.01137649042e-09	1.35405031650392e-10	1.06701896126718e-09	2.57293055952069e-09	1.34122281221308e-09	8.23969445412382e-11	2.00338767098812e-10	1.87869395978822e-10	1.77108567099971e-10	6.28534660290691e-10	5.17417356000043e-10	4.95278705075537e-11	9.93548917037835e-11	1.45871854593021e-09	1.82762510912775e-10	3.62635088744799e-10	1.1175234764192e-09	8.40838262060987e-10	1.38338871363155e-10	2.59052367683029e-10	1.903526380253e-09	3.95366566055529e-11	7.25155569358298e-10	8.64764967236214e-09	6.65874185217864e-09	3.99887103588706e-09	0.00521886587026399	3.75882235831534e-09	2.09454466861396e-09	1.02734751275362e-10	9.49652446342495e-10	9.10109948143279e-11	3.5664070120499e-09	8.66950651846851e-11	2.18896516565138e-11	3.61950194895749e-10	3.11918444578246e-10	8.84505342942499e-10	2.37284109803012e-10	1.05530346175387e-09	3.62404473782774e-11	8.83754381944299e-10	7.1887287264585e-10	1.53537330675228e-10	2.45940970583383e-11	0.506782463943427	0.616460218002452	0.509394298861737	0.601887163736704	0.504467016702548	0.493664633626426	3.83414143392807e-10	2.54556313414541e-10	2.47408076494972e-09	1.720315484686e-10	8.8297254993323e-10	5.35129485687018e-11	6.99672172106132e-10	1.76231761945851e-12	2.58326447369061e-11	1.04787970953849e-09	4.5893666085385e-10	4.26720274371264e-10	2.83782508155627e-09	8.81515227351472e-10	5.64540489005119e-09	1.98580853718144e-09
CHS	1.18324498552214e-09	6.00681373376103e-10	1.56826968978319e-09	1.66377593541783e-09	5.49048354382223e-10	2.22644057247224e-10	6.06615128573049e-10	2.60378368064268e-09	1.79456373904521e-09	7.97929621673432e-10	3.27604153088347e-10	1.38845733274376e-09	1.66631567084357e-10	1.20698280276043e-09	3.64871109865463e-09	1.76330922269246e-09	9.22288421729471e-11	2.57827043665663e-10	2.39610940910929e-10	2.04351437728193e-10	6.75311695491171e-10	6.67982593692008e-10	4.00520456160457e-11	7.24298208057098e-11	1.44741642156279e-09	1.56042106840924e-10	3.12242586527504e-10	9.22613474487319e-10	5.5459392387714e-10	5.57367979728059e-11	2.03603773465641e-10	9.73228218467132e-10	1.4762429738404e-11	4.3252099967635e-10	6.93893476476822e-09	3.32316800156623e-09	3.24555880624362e-09	3.29172583222693e-09	3.37926444700088e-09	1.5506675764086e-09	1.04104030070498e-10	8.2134863338353e-10	7.17686093751855e-11	3.39333649032652e-09	9.09077963577718e-11	2.11568670177069e-11	3.07287321906796e-10	2.71261513578441e-10	7.96590017647726e-10	2.62138107313377e-10	9.37718789182789e-10	3.74006259029102e-11	1.02381021351654e-09	6.84890991831576e-10	1.43876423286247e-10	2.31784790359011e-11	0.0843431573990918	0.0184575983351006	0.0857358372048033	0.0284666754993379	0.136345589934488	0.11049247527897	3.11725869592561e-10	2.53697240031647e-10	2.71950772108946e-09	1.99798798808248e-10	8.5412726254295e-10	6.27316899370262e-11	1.95973702650561e-09	1.0490147198709e-11	3.6902102515008e-11	1.90150631313611e-09	5.663827474934e-10	1.10181495407568e-09	1.88064171651197e-09	5.91335207037313e-10	4.93143615118917e-09	1.26296217509178e-09
JPT	7.05686351614349e-11	4.9532284588799e-10	3.16195693222078e-10	1.78611775973788e-10	5.31751216128198e-10	2.67720213611647e-10	5.35307767560622e-10	3.4090924794805e-09	1.59680091446775e-09	5.93475128711759e-10	5.75221538840558e-10	0.0108738422582928	2.30422636662096e-10	1.59799557581247e-09	3.63132173499788e-08	1.87441309176236e-08	1.3904900011509e-10	2.7444993053373e-10	3.38141231977638e-10	2.84438295594864e-10	1.08177080731679e-09	1.01614366932881e-09	4.68821033346115e-11	8.13410407378664e-11	1.09093201389413e-09	1.76071892443339e-10	3.41259971557693e-10	1.12314210421827e-09	1.46822329627012e-09	2.50111762118579e-10	3.36926894759488e-10	3.36205885317385e-09	9.60790704335623e-11	1.52130905298068e-09	4.15485423235967e-09	1.75320468696093e-09	2.60228547762679e-09	1.62740514962791e-09	2.46654277357868e-09	1.17715834295776e-09	3.36507040816084e-10	1.15729161719165e-09	1.06689173608002e-10	3.82664965202276e-09	1.13230702578302e-10	4.09643837175065e-11	1.84569437447343e-10	2.97462871196634e-10	1.06735304586873e-09	1.98936957806508e-10	1.63497713125039e-09	9.96059329006208e-11	1.67831988285373e-09	9.49019107824453e-10	3.73843526200497e-10	8.22290810574412e-11	0.381054818314523	0.347702664621101	0.404869852477383	0.365828527284162	0.35918737500095	0.374626059073119	5.14491557010914e-10	4.28372419744503e-10	3.47705598242953e-09	3.74330113427217e-10	1.04224831212325e-09	8.78112950745957e-11	4.10630167073923e-10	-4.2593651094626e-12	1.05734197560407e-11	5.72879580837035e-10	3.07494220476233e-10	2.4599293649521e-10	2.83734303900882e-09	1.09774703126381e-09	9.90291661143305e-09	3.17862612899655e-09
KHV	1.137462959327e-09	5.85465589667695e-10	1.00991011462705e-09	8.98501099172875e-10	4.82427805927029e-10	1.95313831370922e-10	5.25317571128051e-10	2.01069402225965e-09	1.62076568263268e-09	7.40365732512404e-10	2.34565872657368e-10	8.47143494552757e-10	1.15840697559886e-10	1.03587777892101e-09	2.35368759725453e-09	9.31565120124382e-10	9.45519828207001e-11	1.52141795357769e-10	2.26158284797748e-10	2.1347040862026e-10	7.34757394081303e-10	6.12087275604766e-10	2.81182279862903e-11	4.01150377681632e-11	7.83287747418537e-10	1.08484035574972e-10	2.24459121532806e-10	7.31772618965441e-10	3.69002709464533e-10	5.59750621142013e-11	1.93817582641562e-10	7.15796538227749e-10	-1.5099449022392e-12	3.3757267964529e-10	2.99176648640777e-09	1.21026107963685e-09	2.21006864304364e-09	8.73134512135584e-10	2.18174076955593e-09	1.16871546553822e-09	4.99381693085728e-11	6.41557844121692e-10	5.03883969955313e-11	2.39715511543306e-09	6.62430827770732e-11	1.32276037001376e-11	1.82105451820668e-10	2.04667656052863e-10	8.77856301866517e-10	2.53918967131385e-10	5.89526053991708e-10	2.81530726686003e-11	7.6871572206704e-10	6.45476901731484e-10	1.34524198405157e-10	1.82372437319678e-11	1.39822101545421e-08	1.19063612328835e-09	8.25183264138364e-09	1.87162738546179e-10	4.2132479774507e-09	1.70396007220009e-09	3.17695439324146e-10	2.58494854367683e-10	2.09540077136538e-09	1.72106215686547e-10	7.70594779282374e-10	3.73424604257058e-11	3.20905238188198e-10	-7.04760146776955e-12	1.57972237300898e-11	3.06879544134714e-10	3.21057380112046e-10	2.10049367067324e-10	2.49412825137455e-09	8.23408376399169e-10	4.39330293621877e-09	1.67938884201347e-09
CEU	0.110178528668185	9.92593287012646e-08	0.114851777537342	0.0356966983683644	0.637001468750478	0.478746545505223	0.593356052809194	0.569499540527367	0.601917820153383	0.578542807932508	0.551240648441341	0.546063625632511	0.519266082627623	0.533835294416043	0.544591033513951	0.550258373154793	0.48087283110114	0.554308810261638	0.526837830391522	0.462342374402986	0.496340206811637	0.491862743669403	0.104033857041749	0.0642975774751499	0.111971845865987	0.158106577928585	0.0182741307206879	0.181657964408131	0.186606261764917	0.306442408095487	0.232598263227914	0.229727736270273	0.224525404106121	0.216284791871928	0.343663602745362	0.376540706034285	0.330924447678328	0.409438601077031	0.3243107534849	0.259603164427727	0.808913076894057	0.862090735568842	0.795145746582733	0.842158582569052	0.752095087208118	0.717464106236294	0.475694721001487	0.486212389382583	0.594347200201434	0.579826027606204	0.473598370557561	0.250294156027756	0.310946999414055	0.371329731467229	0.217690430166059	0.335658599236405	-5.530690915877e-10	1.45351840117411e-09	-6.01568925370048e-10	1.6525276621457e-08	8.55988723840327e-12	1.4051335779105e-10	0.0572927988225927	0.193110340135388	0.0893994235639433	0.194105729767315	0.0794760362774175	0.132282395419628	0.200334391294398	0.193435283308358	0.221868331646215	0.080037309707307	0.228965548723762	0.128446565221082	0.00692683835671417	4.61108490355412e-07	1.36888654181553e-07	1.52578386231269e-07
FIN	6.03101954791672e-09	2.93934791819878e-08	8.46973014018858e-09	1.28358643801318e-08	0.0997414064179635	0.0802882088764929	0.120909557206264	0.0602369970006071	0.118539139183226	0.121009261876036	0.0144677273158575	0.0706612171110787	5.00017277885235e-09	0.0241884985386159	1.42391582359662e-08	4.05799709266651e-09	0.022562674040163	0.0127851869667722	0.0219620103505386	0.0134269435966529	0.0388834184476848	0.0376535138418027	0.0683828417497809	0.149308730411731	0.049153663769356	0.148889212747687	0.0817194590314911	0.0579452775301189	0.0670313887524249	0.0590421109903706	0.0754424032214053	0.077131796588247	0.070861937556349	0.0512671443269216	0.140669721774896	0.116509953142013	0.145299223019691	0.114202579811944	0.148666734425523	0.174133422714119	0.12281081333533	0.109721067517655	0.118314083844036	0.155284509147497	0.0964619814338108	0.138266324900958	0.0437833290844711	0.0448398914986949	0.0358663169587075	0.0626480092652309	0.0530512934705345	0.0484889787841631	0.0246096916812883	0.0326232472201492	0.014246178571678	0.0330033361954609	-5.9041271828613e-10	0.0031044159461833	-6.59787637755058e-10	0.00310606622180168	5.32657444313154e-11	1.75998231384046e-10	0.0197059195619489	5.11282336119176e-08	1.10353140326304e-06	7.6024496172907e-08	0.017682752424871	4.4187601778134e-09	0.0357837856967831	0.0282778784946366	0.0585063533974816	0.00804027244321761	0.0469207856136312	0.0219736524144082	0.209866244589614	0.226647368944582	0.21776540199337	0.220946833355522
GBR	0.460061347155178	0.49820349816475	0.500443746592857	0.583855197116697	0.0807799485342932	0.247607205621738	0.087589465116277	0.212742663500002	0.0896345412224987	0.124646562355718	0.318973193320623	0.314439932015337	0.405017508285859	0.295070848601787	0.273515255509627	0.30304144616291	0.336013764051913	0.287441081870408	0.262042325397707	0.370233330850803	0.297920796266678	0.317959581902202	0.421329638822023	0.438965405333161	0.435777669392051	0.301582285195544	0.49774556618937	0.3311998209338	0.592484939408179	0.430163963064921	0.491643657439744	0.465375675438596	0.575852370234956	0.587546216504028	0.193454077286377	0.196435373692214	0.0965183900416073	0.164621574426149	0.15044608528092	0.164133012437642	1.22738388483286e-07	3.14001020661241e-07	0.0434701183445577	2.86303472731569e-08	0.0139215374249919	0.0353618813608791	0.317065426774603	0.292986537626933	0.01490156477774	0.0292745654546956	0.282670207626421	0.431839755283441	0.392672253911192	0.279702955966658	0.509784977189039	0.346962372886685	-5.73732887088926e-10	7.22595124326176e-10	-5.98457887334948e-10	5.68909679570882e-10	-4.86000140319101e-11	1.14804240540938e-10	0.613964149578137	0.516032741120106	0.537439273236288	0.466468583676709	0.555343626280034	0.553762116429525	0.379539373685181	0.423742707243064	0.3763748274966	0.520300487263984	0.385089389531865	0.449361317558537	0.43403118399156	0.442790977508878	0.464695521454481	0.434500812939433
IBS	0.13790994968815	0.171730372925564	0.123039049607246	0.103635067354202	0.0480889169083992	0.0687446499915685	0.0504609598806352	0.0794441815102736	0.0449124252326668	0.0222433602194058	0.0934038488740203	0.0577143841793383	0.0545520030868088	0.115926529253731	0.082823029354779	0.108822924950322	0.100999484467787	0.120891758688442	0.107678322768121	0.0863080607375021	0.115623935242126	0.0930660808619351	0.0621216813677353	1.98531723498789e-09	0.0647221802606045	0.0968619193738557	0.0287280490135378	0.0537185436484457	0.0539173859080205	0.0856613657761667	0.100304388070104	0.134603021870063	0.0547403414827606	0.0685116573318156	0.24723184568442	0.19601594767393	0.325507842428105	0.291876513042248	0.274006895724747	0.280404874112125	0.0428843921589507	3.96394996335703e-08	0.0145903438789861	3.74266766819287e-08	0.099034893012069	0.0840090428042742	0.126389649486154	0.136028986974283	0.256524887745447	0.0125046153239036	0.158654277215261	0.0195945306420346	0.0762899652518084	0.0164218657730495	0.0390222392917396	0.0887026843297506	-5.65219425702205e-10	4.64457270620631e-10	-4.84741922084942e-10	2.41299161085662e-10	-9.95899278985632e-11	8.36260298255595e-11	0.113961541395741	0.0961113612792101	0.126419868432227	0.205877561486804	0.117137996273621	0.0959551437123314	0.0340195019963486	0.0184292704139754	0.0406133071128067	2.78868212121042e-07	0.0347172128313539	0.0489922696850183	0.060971685988595	0.0435546545979566	0.0456728198170139	0.0837421453970661
TSI	0.239837233462416	0.292209221823986	0.238454065198151	0.219394872403261	0.12919151316617	0.0998568391724657	0.140658049325957	0.0772798810466513	0.140857458200179	0.150342490253069	4.60680311783621e-09	5.24892983066857e-08	1.18280765936509e-09	7.58048773593878e-09	0.0668755178726362	1.80099436513806e-08	5.36108461257288e-09	7.53342666453677e-09	7.2562614233528e-09	1.00148166226255e-08	2.78976512025809e-08	1.86157531632809e-08	0.312350102050491	0.333658562150167	0.30937784914489	0.284242157133385	0.348382849696082	0.342448443713307	0.0949886708642711	0.0774529210863501	0.0932480434120781	0.0701216227865524	0.0705611318214855	0.0681188708057591	0.0659277998525142	0.0924750812708757	0.0684861231514814	3.2893380372175e-08	0.0763530585783029	0.120180013900015	4.61180142046593e-09	7.35717334613299e-09	7.8651634525046e-09	1.30785886072995e-08	3.12381360321261e-09	2.33128625957457e-09	1.87319828622704e-09	2.85814295708711e-09	1.12544166670867e-08	0.1844213276974	1.17850637654867e-08	0.23452405571973	0.166808380655307	0.265351576195967	0.190232738049839	0.167751710875272	-5.5643718054642e-10	5.69451513720126e-10	-6.04191942208533e-10	2.59660918144197e-10	-9.21173989217546e-11	1.01142606445434e-10	0.143513440601621	0.125200433680495	0.215753752257558	0.0742014903815484	0.207593910611298	0.181864467662156	0.252487204732327	0.283963754445222	0.243613573493335	0.338031633742885	0.254036652287395	0.250800734175688	0.255314004224905	0.229427208573939	0.241104722156848	0.225039464124643
BEB	1.19976946057079e-09	3.01959605491705e-09	1.28219231085493e-09	1.87525531106797e-09	1.9223166588347e-09	6.51679629959584e-10	8.19938862164956e-10	1.2703549554332e-08	3.5705803650689e-09	5.02044518858092e-09	6.41851201301317e-10	1.17365696743116e-09	2.15886233895303e-10	3.61192397232176e-09	1.95639127582131e-07	2.62096077424652e-09	3.63814543638463e-09	3.45534165325252e-08	5.59018337067777e-09	2.44793684163939e-08	3.0161819115642e-08	1.3895621364997e-08	4.74487420099205e-11	1.2794548175431e-10	1.41231694232671e-09	1.50371398650645e-10	2.65666678702046e-10	1.517813255197e-09	6.75389152576697e-09	5.95777288110419e-10	2.04797075484451e-09	8.46477729360858e-09	2.55778202224628e-10	5.43399268498886e-09	0.00904491120615141	0.00972483768871627	3.78946519768701e-07	0.0146417916983686	4.40360998263369e-07	7.22485707033709e-08	2.15638287200358e-09	6.58791505355052e-09	3.55455531960845e-09	2.0057400014252e-08	1.88358448263469e-09	3.80236754350042e-10	2.98396895037817e-10	2.81863843024701e-10	3.40170548438673e-09	3.61348917452302e-10	2.16566686035499e-09	6.41252110776716e-11	8.46991426262872e-10	4.91437693075663e-10	4.78092205799883e-10	4.37072165755076e-11	-2.04902065974885e-10	5.16202497779254e-10	-7.60123107796874e-10	1.43209170457176e-10	-1.94950124218882e-10	1.58414649747026e-10	5.93930835948108e-10	4.75085872452237e-10	8.68087207416222e-09	2.83778246442105e-10	4.99185286314366e-10	5.08124290090367e-11	2.08309373638576e-09	4.85966863977044e-11	2.44446404956044e-10	6.14401829080183e-09	1.93900291304408e-09	1.75345499232444e-09	8.41222339510451e-08	3.53504476411708e-09	4.86877719756544e-08	8.43423752539985e-09
GIH	1.58544096119592e-09	6.62193616313542e-09	1.14433641142372e-09	3.42620350608529e-09	9.09737605498485e-09	0.0102216980443925	1.3241103508536e-09	3.63815662551084e-08	4.83664059922577e-09	0.00321548918529582	3.73379541353109e-10	1.01595480153887e-09	2.10967350519381e-10	3.76632177346627e-09	2.22243665288518e-08	2.04901354127874e-09	0.0330546843559499	2.25407819113655e-08	0.0459576010074459	0.0266289436056578	0.0349759662830109	0.0185231585134783	2.63960694446492e-11	1.57540894754882e-10	2.77676397417636e-09	2.1955379325164e-10	3.41229016883671e-10	3.70676553240988e-09	0.00497122507138871	0.00786353368729586	0.00643266563583804	0.0162414248341852	0.00345881149476105	0.00723049622467579	5.58069907330671e-09	2.26406443956615e-09	9.01086419839602e-09	9.62275891661133e-10	1.08619434831351e-08	4.95417275250003e-09	3.15238123089151e-09	6.29901016294433e-09	7.69286765828034e-09	9.73567805323252e-09	3.6840250543114e-09	7.68746936502917e-10	4.06682966101468e-10	4.45260947772751e-10	1.09343314405937e-08	2.80121882641838e-10	3.3186190894658e-09	1.23021230498013e-10	2.35602909177705e-09	1.05672272359794e-09	9.27724823250429e-10	1.07310122785308e-10	-2.91730810311729e-10	4.25471802121352e-09	-8.31736030906214e-10	8.3284577886204e-10	1.2647660386694e-10	2.82830792472271e-10	6.55597431264819e-10	5.23523177427032e-10	6.24268081304071e-09	4.0800583692524e-10	6.01481953730868e-10	5.31020402473207e-11	9.84596457564096e-09	1.42637222720623e-10	1.11861063680008e-09	1.10241191699717e-08	6.84745432462566e-09	7.33840747519367e-09	0.014337666183347	0.028104809156475	0.0121436165742303	0.0253410567360943
ITU	1.25126584419654e-09	3.73560768158423e-09	8.34029075608403e-10	2.18225711216679e-09	1.71813012749813e-09	9.8442260075486e-10	5.96376559052074e-10	7.56848848985973e-09	2.68231538289852e-09	2.04703108359019e-09	4.19609968428672e-10	7.46411874314339e-10	1.86821704074234e-10	3.07012758072651e-09	1.39134742595314e-08	2.52264084684399e-09	1.67296633110721e-08	0.0216967704293818	0.00739187726054935	0.00879077391389419	2.52001338007967e-07	0.0128788951628184	1.13084175264157e-11	1.01022213441803e-10	8.92298521098425e-10	1.04355109489635e-10	1.89984675387005e-10	5.76463020282346e-10	1.02084430899096e-08	8.26841852393507e-10	2.59704339201624e-09	1.53744763198232e-08	4.57763768486387e-10	7.46823780612377e-09	2.23066207988112e-08	4.36093153675054e-09	2.08486203682044e-08	1.03094410678604e-09	1.95923481267263e-08	1.95930235005464e-08	4.74033797089435e-08	2.72089262701999e-08	0.0230168434763805	2.19457334567227e-08	4.63488430325921e-09	0.0181089971342622	3.22039893649841e-10	2.7180645588325e-10	1.92549055548425e-08	2.22466493037916e-10	2.45526762119624e-09	6.92971100479387e-11	8.42088543341428e-10	9.24035324029505e-10	5.56847453499868e-10	4.89916772331473e-11	-6.33753848037779e-10	5.09178781264733e-10	-1.02964920841733e-09	1.41225739688237e-10	-1.62787679422878e-10	1.85856017796638e-10	3.51394531061931e-10	5.49549235799377e-10	6.12537348702064e-09	3.53573965619533e-10	4.20200680799475e-10	3.94567283871723e-11	3.97604329548807e-09	1.0872210356436e-10	5.87147540744551e-10	1.68622801667275e-08	3.49400051534877e-09	3.74318242350281e-09	4.64344272308435e-09	2.23533299078065e-09	8.21087171399542e-09	2.8062872269778e-09
PJL	2.00578117793661e-09	5.39563877592276e-08	1.25955223330491e-09	4.31932262150529e-09	2.01039377727066e-09	8.28754562315885e-10	8.61955092487496e-10	9.04457574826868e-09	3.99139269568402e-09	3.87082765049051e-09	6.41249080970147e-10	1.30365389797685e-09	4.24208987471188e-10	4.05001487902735e-09	1.11685440321833e-07	3.26466901195416e-09	7.68244107940007e-08	1.41096740017328e-08	0.00344774400882243	4.1360562204416e-07	0.00912655481075684	8.34516344677545e-08	3.85159480247272e-11	1.60870650681329e-10	1.8835122227009e-09	1.78757032273763e-10	3.04198639747293e-10	1.60902061804001e-09	7.2899912460926e-09	7.60489313149557e-10	1.88939794621141e-09	2.06341129665132e-08	3.06005231424573e-10	6.36371216927168e-09	6.90518299081549e-09	2.89868431811284e-09	1.0340404149138e-08	1.01767604325111e-09	7.42703880647274e-09	5.39221279118475e-09	1.11739364027043e-09	3.77933855689002e-09	1.96024407628391e-09	1.1033953614573e-08	6.58563565322161e-10	3.11818987214137e-10	1.33121740090178e-09	1.32770351799047e-09	0.0330277433674538	2.62808544656503e-10	7.51436755594656e-09	8.61370532210139e-11	9.54195254462186e-10	1.03425343186782e-09	6.81732354846871e-10	6.57997451942881e-11	-6.66762726585487e-10	8.26667983422393e-10	-9.12779362217034e-10	3.51332331428325e-10	-5.05433566060881e-11	1.98650519749179e-10	5.27590386605001e-10	8.97247661144411e-10	5.99641762313284e-09	9.40983410354823e-10	7.62267691151968e-10	7.09551687081357e-11	3.86213944968372e-09	8.97154448138457e-11	3.7092238950647e-10	6.11243389432589e-09	2.54324746250369e-09	2.62729184856194e-09	1.02666743165451e-08	3.92251370575966e-09	1.63660347351508e-08	6.03681131111758e-09
STU	1.18422930529812e-09	4.48098697905828e-09	8.19649300979984e-10	1.90269622384684e-09	3.22498943478777e-09	0.00662118854051267	9.20644321884663e-10	3.36839813143112e-08	3.37495116041761e-09	6.33196471831406e-09	3.65073717539261e-10	7.13273877241185e-10	1.64630273345516e-10	2.49467031420569e-09	0.0102318012485849	3.1816937235458e-09	4.23291321062842e-09	1.72764471236308e-08	8.03487833319636e-09	5.22037590824183e-09	3.77301790669677e-08	1.98258208649335e-08	1.52616513325289e-11	9.61173109334105e-11	1.37861017290944e-09	1.19299924705724e-10	1.95487724260435e-10	6.04950302699597e-10	9.37823240007484e-09	7.52657089236636e-10	2.21582975013402e-09	1.13531078922622e-08	3.22408037778722e-10	7.01227842561014e-09	7.93786023388027e-06	0.0122980068806676	0.0243150349779574	5.65059677895437e-09	0.0137159088140877	0.0015453854227375	0.0253915338310476	0.0281877739192044	0.00546284056139303	0.00255659524810539	0.0384864848508398	0.00678964304269923	3.39465763687229e-10	2.95313424911413e-10	6.26444943871015e-09	2.04021274499761e-10	2.68786863079662e-09	7.5216532071068e-11	1.038568943949e-09	9.13975971761953e-10	6.40392034100452e-10	5.57451562730828e-11	-5.40114182875825e-10	1.08415504137e-09	-9.59854097120002e-10	3.21271426161472e-10	-5.46929592155931e-11	2.32999312017072e-10	2.29624190604704e-10	4.786478756508e-10	3.13061205243784e-09	2.95117867618713e-10	3.68075438743465e-10	8.70963838710045e-12	2.44908893148868e-09	6.89531907645797e-11	2.8928979680375e-10	9.39684439163514e-09	2.05191948295179e-09	2.32116285312572e-09	4.16352757803044e-09	1.85613618540088e-09	5.75802006429518e-09	3.17166399396917e-09
