	ET2_1
ACB	3.3333965415884166e-10
ASW	4.94528591756842e-10
ESN	2.0999229662859135e-10
GWD	3.2115808635022837e-10
LWK	2.6181177805349096e-10
MSL	2.1520181288467577e-10
YRI	2.9902081049439014e-10
CLM	5.705038962505442e-09
MXL	7.740816426451187e-10
PEL	4.02937981971283e-10
PUR	1.8984376132569197e-09
CDX	0.0019022851151451609
CHB	8.388329603297228e-10
CHS	2.3262335757465214e-09
JPT	7.36321284055411e-10
KHV	1.3398036980233155e-08
CEU	0.35879758124600486
FIN	0.0763489216539064
GBR	0.26862139319895856
IBS	0.17713746410158096
TSI	0.10115744148594032
BEB	0.0029166436806169703
GIH	1.1017805471929943e-08
ITU	0.013118212487621767
PJL	9.496822916822106e-09
STU	8.315772295560323e-09
