	angle
mat_GT_bm_1	0.7592142286433056
mat_GT_bm_2	0.8727347973652501
mat_GT_bm_3	0.8096698519823758
mat_GT_bm_4	0.6563776154385259
mat_GT_bm_5	0.8698987808470173
mat_GT_bm_6	0.7391862415671431
mat_GT_bm_7	0.7967946039025222
mat_GT_bm_8	0.8383752559588429
mat_GT_bm_9	0.8973263522878513
